"","X","unique_id","age","gender","mean_self_report","n_items","amp_score","proportion_too_fast_trials","n_trials","exclude_amp"
"1",1,548957868,23,NA,NA,NA,NA,NA,NA,NA
"2",2,504546409,NA,NA,NA,NA,0.375,0,8,"include"
"3",3,994692692,21,"female",1.33333333333333,3,0.805555555555556,0,72,"include"
"4",4,902223169,19,"female",2.66666666666667,3,0.569444444444444,0,72,"include"
"5",5,469672453,27,"male",1.33333333333333,3,0.25,0,72,"include"
"6",6,637089700,43,"male",2,3,0.5,0,72,"include"
"7",7,4345805,54,"male",3,3,0.361111111111111,0.0416666666666667,72,"include"
"8",8,786441188,27,"female",1.66666666666667,3,0.763888888888889,0,72,"include"
"9",9,510787584,34,"female",4,3,0.513888888888889,0.0138888888888889,72,"include"
"10",10,684265529,19,"nonbinary",1,3,0.541666666666667,0,72,"include"
"11",11,47022865,21,"male",1,3,0.472222222222222,0,72,"include"
"12",12,199802590,27,"male",5.66666666666667,3,0.527777777777778,0,72,"include"
"13",13,295696078,32,"male",1,3,0.541666666666667,0,72,"include"
"14",14,32034696,38,"male",1.33333333333333,3,0.625,0,72,"include"
"15",15,609227927,18,"male",NA,NA,0.986111111111111,0.0555555555555556,72,"include"
"16",16,59367911,47,"female",1,3,0.486111111111111,0,72,"include"
"17",17,386661197,46,"male",2.33333333333333,3,0.444444444444444,0,72,"include"
"18",18,238678139,38,"female",1,3,0.652777777777778,0,72,"include"
"19",19,764499289,52,"male",1.66666666666667,3,0.555555555555556,0,72,"include"
"20",20,586346915,36,"female",1,3,0.541666666666667,0,72,"include"
"21",21,100125154,29,"male",2.33333333333333,3,0.513888888888889,0,72,"include"
"22",22,550721671,28,"female",1,3,0.527777777777778,0,72,"include"
"23",23,161234436,25,"male",6.66666666666667,3,0.569444444444444,0.111111111111111,72,"exclude"
"24",24,621686155,42,"female",1,3,0.513888888888889,0,72,"include"
"25",25,238079276,28,"female",1.66666666666667,3,0.541666666666667,0,72,"include"
"26",26,561842983,23,"female",1,3,0.944444444444444,0,72,"include"
"27",27,627537443,27,"female",1,3,0.680555555555556,0,72,"include"
"28",28,591041139,29,"nonbinary",3.66666666666667,3,0.611111111111111,0,72,"include"
"29",29,601833546,34,"male",3,3,0.5,0,72,"include"
"30",30,874662429,36,"male",3,3,0.527777777777778,0,72,"include"
"31",31,658421880,53,"female",1,3,0.513888888888889,0,72,"include"
"32",32,557207580,28,"female",1,3,0.555555555555556,0,72,"include"
"33",33,13708908,25,"male",1,3,0.555555555555556,0,72,"include"
"34",34,699441423,48,"male",1,3,0.986111111111111,0,72,"include"
"35",35,841303698,19,"female",1,3,0.583333333333333,0,72,"include"
"36",36,881713870,25,"nonbinary",5.33333333333333,3,0.486111111111111,0,72,"include"
"37",37,663795436,39,"female",1,3,0.527777777777778,0,72,"include"
"38",38,422087765,45,"female",1,3,0.486111111111111,0,72,"include"
"39",39,343944905,31,"male",4.66666666666667,3,0.527777777777778,0.319444444444444,72,"exclude"
"40",40,920212493,61,"male",1.33333333333333,3,0.861111111111111,0,72,"include"
"41",41,526570034,63,"male",1,3,0.611111111111111,0,72,"include"
"42",42,882246022,61,"male",1,3,0.527777777777778,0,72,"include"
"43",43,904883244,59,"male",1,3,0.611111111111111,0,72,"include"
"44",44,293831276,60,"female",1,3,0.0694444444444444,0,72,"include"
"45",45,530863876,42,"male",2.66666666666667,3,0.430555555555556,0,72,"include"
"46",46,753565148,26,"female",1,3,0.555555555555556,0,72,"include"
"47",47,727031797,27,"male",1,3,0.736111111111111,0.0555555555555556,72,"include"
"48",48,751712225,22,"female",1,3,0.5,0,72,"include"
"49",49,464934738,21,"male",2,3,0.486111111111111,0.0833333333333333,72,"include"
"50",50,563522777,53,"male",2.66666666666667,3,0.5,0.0833333333333333,72,"include"
"51",51,373740279,51,"female",1,3,0.625,0,72,"include"
"52",52,589607780,35,"female",1,3,0.486111111111111,0,72,"include"
"53",53,681045009,26,"male",3,3,0.958333333333333,0.0416666666666667,72,"include"
"54",54,855399085,32,"female",1,3,0,0,72,"include"
"55",55,821599197,45,"female",1,3,0.361111111111111,0,72,"include"
"56",56,311497290,48,"male",3,3,0.291666666666667,0,72,"include"
"57",57,254118946,64,"female",2.66666666666667,3,0.458333333333333,0,72,"include"
"58",58,317124448,36,"female",1,3,0.875,0,72,"include"
"59",59,730068356,51,"female",1,3,0.944444444444444,0,72,"include"
"60",60,236383059,37,"male",1,3,0.486111111111111,0,72,"include"
"61",61,246374429,21,"female",1,3,0.5,0,72,"include"
"62",62,952386283,26,"female",2.33333333333333,3,0.527777777777778,0,72,"include"
"63",63,694264273,31,"male",2.33333333333333,3,0.597222222222222,0,72,"include"
"64",64,175188025,42,"male",1,3,0.819444444444444,0,72,"include"
"65",65,339232704,31,"male",2,3,0.777777777777778,0,72,"include"
"66",66,386456897,23,"male",1.33333333333333,3,0.472222222222222,0,72,"include"
"67",67,637668138,30,"male",2,3,0.5,0.0138888888888889,72,"include"
"68",68,237498336,49,"male",1,3,0.583333333333333,0,72,"include"
"69",69,631750145,24,"female",1,3,0.513888888888889,0.125,72,"exclude"
"70",70,867476338,29,"female",1,3,0.472222222222222,0,72,"include"
"71",71,196574198,21,"female",1,3,0.888888888888889,0,72,"include"
"72",72,692009266,31,"male",1,3,0.541666666666667,0,72,"include"
"73",73,477618299,53,"male",1,3,0.638888888888889,0,72,"include"
"74",74,325830955,50,"male",4.33333333333333,3,0.569444444444444,0.0277777777777778,72,"include"
"75",75,965314508,28,"male",1,3,0.5,0,72,"include"
"76",76,72442795,19,"female",1.66666666666667,3,0.944444444444444,0,72,"include"
"77",77,216287717,50,"female",3.33333333333333,3,0.527777777777778,0,72,"include"
"78",78,287027128,37,"female",1,3,0.5,0,72,"include"
"79",79,247697997,20,"male",2,3,0.625,0,72,"include"
"80",80,954130481,50,"female",1,3,0.513888888888889,0,72,"include"
"81",81,564734227,30,"male",1.66666666666667,3,0.375,0.152777777777778,72,"exclude"
"82",82,797453632,21,"male",1,3,0.583333333333333,0.0138888888888889,72,"include"
"83",83,85445170,26,"male",1,3,0.458333333333333,0.180555555555556,72,"exclude"
"84",84,614285355,59,"male",1,3,0.569444444444444,0,72,"include"
"85",85,14943693,39,"male",1.33333333333333,3,0.972222222222222,0,72,"include"
"86",86,920896673,35,"male",1,3,0.472222222222222,0.0555555555555556,72,"include"
"87",87,75092407,22,"female",1,3,0.402777777777778,0.0277777777777778,72,"include"
"88",88,83185292,39,"male",3.33333333333333,3,0.430555555555556,0,72,"include"
"89",89,234276163,55,"female",1,3,0.847222222222222,0,72,"include"
"90",90,940229231,45,"male",3,3,0.680555555555556,0,72,"include"
"91",91,456445084,48,"male",1,3,0.513888888888889,0,72,"include"
"92",92,102678881,32,"male",1,3,0.986111111111111,0,72,"include"
"93",93,187172011,51,"female",1,3,0.986111111111111,0,72,"include"
"94",94,108266335,32,"female",1,3,0.611111111111111,0,72,"include"
"95",95,752580117,35,"male",1,3,0.138888888888889,0,72,"include"
"96",96,506524197,36,"male",2,3,0.555555555555556,0,72,"include"
"97",97,524337317,29,"male",1.66666666666667,3,0.555555555555556,0,72,"include"
"98",98,759418836,32,"male",1,3,0.972222222222222,0.0138888888888889,72,"include"
"99",99,233735378,NA,NA,1.66666666666667,3,0.5,0,72,"include"
"100",100,246532124,NA,NA,4,1,0.548611111111111,0.00694444444444444,144,"include"
"101",101,494447594,NA,NA,1,3,0.875,0,72,"include"
"102",102,893377996,NA,NA,NA,1,NA,NA,NA,NA
