race_iat,openness,conscientiousness,extroversion,agreeableness,neuroticism
0.156,NA,4.333333333333333,3.75,NA,4.25
-0.39,4.4,NA,NA,3.5555555555555554,NA
-0.565,4,NA,NA,3.6666666666666665,NA
0.026,3.8,NA,NA,4,NA
0.519,3.6,NA,NA,3,NA
0.851,4.6,NA,NA,4.222222222222222,NA
-0.182,NA,4.666666666666667,4.25,NA,4.125
0.3,NA,4.555555555555555,4.875,NA,3.625
-0.051,4.7,NA,NA,3.7777777777777777,NA
-0.414,4.1,NA,NA,4.111111111111111,NA
0.41,4.1,NA,NA,4,NA
-0.676,4.9,NA,NA,4.222222222222222,NA
-0.481,NA,4.111111111111111,4.625,NA,3.875
0.426,4.6,NA,NA,3.888888888888889,NA
0.63,4.4,NA,NA,4.555555555555555,NA
-0.25,NA,3.7777777777777777,3.875,NA,3.625
0.393,4.7,NA,NA,4.555555555555555,NA
0.604,NA,4.444444444444445,3.875,NA,4.5
-0.294,NA,3.7777777777777777,3.875,NA,3.625
1.172,2.8,NA,NA,3.888888888888889,NA
0.218,NA,4.111111111111111,4.25,NA,4.125
0.903,4.7,NA,NA,4.111111111111111,NA
0.333,5.4,NA,NA,4,NA
0.467,NA,4,4.125,NA,3.5
0.184,NA,4.555555555555555,3.5,NA,3.75
0.625,NA,3.888888888888889,4.375,NA,4.375
0.76,4.2,NA,NA,3.888888888888889,NA
0.36,4.6,NA,NA,3.7777777777777777,NA
-0.067,4.3,NA,NA,4,NA
0.246,4,NA,NA,4.111111111111111,NA
0.501,3.5,NA,NA,3.6666666666666665,NA
1.199,4.7,NA,NA,4.333333333333333,NA
0.892,NA,4,4.375,NA,3.125
0.806,4.5,NA,NA,4.666666666666667,NA
1.051,NA,4.333333333333333,4.75,NA,4
0.806,4.1,NA,NA,3.7777777777777777,NA
0.201,3.4,NA,NA,4.333333333333333,NA
-0.16,3.8,NA,NA,4.222222222222222,NA
-0.199,NA,4.555555555555555,4.375,NA,3.25
-0.833,NA,4.222222222222222,3.375,NA,3.75
-0.617,NA,4,3.625,NA,3
0.264,4.9,NA,NA,3.4444444444444446,NA
0.347,NA,5.222222222222222,4.75,NA,3.875
0.359,5,NA,NA,4.333333333333333,NA
-0.322,4.3,NA,NA,3.7777777777777777,NA
0.744,NA,4.222222222222222,4.375,NA,3.625
1.398,4.5,NA,NA,4,NA
0.795,4.9,NA,NA,4.777777777777778,NA
0.51,4.5,NA,NA,4,NA
0.671,NA,3.888888888888889,3.5,NA,3.75
-0.023,4.6,NA,NA,4,NA
-0.285,5.1,NA,NA,3.4444444444444446,NA
0.465,NA,5,3.75,NA,4.125
0.437,5.1,NA,NA,3.6666666666666665,NA
0.331,4.9,NA,NA,4.111111111111111,NA
0.145,4.5,NA,NA,4.333333333333333,NA
0.714,NA,3.4444444444444446,3.375,NA,3.625
-0.159,4.6,NA,NA,4.111111111111111,NA
-0.424,4.3,NA,NA,4.222222222222222,NA
0.616,NA,3.5555555555555554,3.875,NA,3.75
0.117,NA,3.6666666666666665,3.875,NA,2.875
0.207,NA,4,3.5,NA,4.25
-0.499,4.2,NA,NA,3.7777777777777777,NA
-0.314,4.3,NA,NA,3.6666666666666665,NA
0.208,4.1,NA,NA,3.7777777777777777,NA
0.22,NA,4.111111111111111,4.625,NA,4.625
-0.657,4.1,NA,NA,3.888888888888889,NA
0.32,NA,4.333333333333333,4,NA,3.625
0.675,5.5,NA,NA,4,NA
0.698,4.3,NA,NA,4,NA
0.953,NA,4.111111111111111,3.875,NA,3.625
-0.086,NA,5.444444444444445,4.125,NA,5.5
0.091,4.1,NA,NA,4.444444444444445,NA
0.355,NA,4,4.25,NA,4
0.253,NA,4.222222222222222,3.375,NA,3.875
0.049,4.2,NA,NA,4,NA
0.712,NA,4.777777777777778,3.75,NA,3.875
0.177,NA,4.555555555555555,5,NA,4
0.514,4.7,NA,NA,4.333333333333333,NA
0.442,NA,4.222222222222222,4.125,NA,3.5
0.521,4.9,NA,NA,4.111111111111111,NA
-0.146,NA,4.777777777777778,4.75,NA,3.875
-0.216,4.8,NA,NA,5.111111111111111,NA
-0.282,NA,4,5,NA,3.875
0.63,NA,4.111111111111111,4.125,NA,4.25
0.611,4.2,NA,NA,4.111111111111111,NA
-0.43,4.1,NA,NA,4.666666666666667,NA
0.369,NA,4.555555555555555,3,NA,4
0.213,4.7,NA,NA,3.7777777777777777,NA
0.232,NA,4.333333333333333,3.75,NA,3.875
0.027,4.8,NA,NA,3.6666666666666665,NA
-0.109,NA,4.444444444444445,4.5,NA,4.5
0.269,4.4,NA,NA,4.222222222222222,NA
0.138,4.7,NA,NA,4.111111111111111,NA
-0.077,NA,4,4,NA,3.375
-0.157,4.5,NA,NA,3.7777777777777777,NA
-0.517,NA,3.7777777777777777,4.5,NA,3.75
0.456,NA,4.333333333333333,5.125,NA,4.875
0.194,NA,4,4,NA,4.375
0.554,NA,4.333333333333333,4.625,NA,3.5
0.152,NA,4.333333333333333,4.125,NA,3.875
-0.188,3.8,NA,NA,3.5555555555555554,NA
0.959,4.9,NA,NA,3.5555555555555554,NA
0.114,NA,5.666666666666667,4.875,NA,5.375
-0.306,NA,5,4.625,NA,4.25
-0.816,NA,4,4.5,NA,3.5
0.717,NA,4.222222222222222,3.75,NA,3.25
0.746,NA,4.333333333333333,3.75,NA,3.625
0.311,3.5,NA,NA,4,NA
0.861,3.8,NA,NA,4.333333333333333,NA
0.506,4.2,NA,NA,3.2222222222222223,NA
0.294,NA,4.444444444444445,4.375,NA,4.125
-0.334,4.4,NA,NA,4.111111111111111,NA
0.298,4.9,NA,NA,4.666666666666667,NA
0.322,4.9,NA,NA,4.333333333333333,NA
0.658,4.7,NA,NA,3.888888888888889,NA
0.133,NA,4.111111111111111,4.375,NA,4.25
0.819,3.1,NA,NA,3.4444444444444446,NA
0.82,NA,4.666666666666667,4,NA,4
0.777,4.7,NA,NA,4.333333333333333,NA
0.362,4.3,NA,NA,3.7777777777777777,NA
-0.979,NA,3.888888888888889,4.375,NA,3.625
-0.423,4.4,NA,NA,4.111111111111111,NA
0.294,4.2,NA,NA,4.111111111111111,NA
0.833,4.3,NA,NA,4.111111111111111,NA
0.911,3.8,NA,NA,3.7777777777777777,NA
0.496,5,NA,NA,3.4444444444444446,NA
0.695,4.6,NA,NA,5,NA
0.106,NA,4.777777777777778,4.5,NA,3.5
0.174,4.8,NA,NA,4,NA
0.102,NA,3,4.125,NA,4
0.603,NA,4.555555555555555,3.625,NA,4.25
0.321,NA,3.6666666666666665,4.625,NA,2.75
0.352,4,NA,NA,4.222222222222222,NA
-1.108,NA,4.111111111111111,5,NA,3.625
0.457,4.1,NA,NA,4.555555555555555,NA
0.615,4.2,NA,NA,3.6666666666666665,NA
-0.04,NA,4.888888888888889,5,NA,4.75
0.736,NA,4.111111111111111,4.5,NA,3.625
0.06,NA,4.888888888888889,3.875,NA,4.25
0.383,4.6,NA,NA,4.222222222222222,NA
0.824,NA,4.777777777777778,4.5,NA,3.75
0.099,4.4,NA,NA,3.7777777777777777,NA
0.615,4.4,NA,NA,3.7777777777777777,NA
0.711,NA,4.444444444444445,4.25,NA,3.5
0.363,3.9,NA,NA,3.7777777777777777,NA
-0.08,NA,4,3.75,NA,3.875
0.23,NA,3.4444444444444446,4.5,NA,4.875
0.426,3.5,NA,NA,3.7777777777777777,NA
0.496,3.4,NA,NA,4.444444444444445,NA
-0.791,4.3,NA,NA,3.888888888888889,NA
0.465,NA,4.666666666666667,3.75,NA,3.25
0.277,NA,3.7777777777777777,3.875,NA,3.875
-0.258,4.8,NA,NA,4,NA
0.541,NA,4.111111111111111,4.625,NA,4
0.08,NA,3.888888888888889,4.25,NA,3.375
0.196,4.6,NA,NA,3.6666666666666665,NA
-0.112,3.9,NA,NA,4,NA
1.113,NA,2.888888888888889,4.5,NA,4.5
-0.093,NA,4,5,NA,4.375
0.391,NA,4.444444444444445,3.625,NA,4.25
0.568,4.4,NA,NA,3.6666666666666665,NA
0.421,4.4,NA,NA,3.6666666666666665,NA
1.018,4.6,NA,NA,4,NA
0.286,4.3,NA,NA,2.888888888888889,NA
0.594,NA,4.555555555555555,3.25,NA,4
-0.073,NA,3.888888888888889,4.5,NA,3.5
