unique_id,domain,iat_type,IAT_score,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,complete_iat_data,complete_individual_differences_data,exclude_iat
440109,African Americans - European Americans,Evaluation,0.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,4,4,5,5,5,2,2,5,2,4,5,4,5,3,3,3,6,4,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
355243,African Americans - European Americans,Evaluation,-0.39,3,4,3,4,4,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,6,4,5,3,5,4,TRUE,TRUE,FALSE
214625,African Americans - European Americans,Evaluation,-0.565,5,4,3,4,5,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,6,4,4,4,4,2,TRUE,TRUE,FALSE
214148,African Americans - European Americans,Evaluation,0.026,6,4,1,4,4,5,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,4,4,4,4,5,4,2,TRUE,TRUE,FALSE
213400,African Americans - European Americans,Evaluation,0.519,2,4,1,3,5,1,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,5,2,3,4,4,6,TRUE,TRUE,FALSE
216503,African Americans - European Americans,Evaluation,0.851,3,5,6,2,4,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,5,4,5,2,6,4,TRUE,TRUE,FALSE
369479,African Americans - European Americans,Evaluation,-0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,5,4,6,4,6,4,6,3,4,5,2,5,3,6,2,5,4,5,4,2,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
220525,African Americans - European Americans,Evaluation,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,4,2,6,6,6,4,6,4,3,5,4,6,6,5,4,2,5,4,3,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
225948,African Americans - European Americans,Evaluation,-0.051,4,5,3,3,2,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,5,5,6,3,6,1,TRUE,TRUE,FALSE
227399,African Americans - European Americans,Evaluation,-0.414,5,3,5,3,4,6,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,5,3,2,4,4,5,4,TRUE,TRUE,FALSE
228671,African Americans - European Americans,Evaluation,0.41,2,5,1,6,5,4,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,2,5,1,TRUE,TRUE,FALSE
232178,African Americans - European Americans,Evaluation,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,4,4,2,5,2,5,4,4,2,NA,4,5,5,4,6,2,6,6,1,5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
232474,African Americans - European Americans,Evaluation,-0.676,3,6,2,4,5,4,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,1,6,1,TRUE,TRUE,FALSE
233978,African Americans - European Americans,Evaluation,-0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,1,6,5,5,4,4,5,5,4,4,5,4,6,2,5,4,2,6,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
235367,African Americans - European Americans,Evaluation,0.426,6,2,3,5,2,6,1,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,5,5,5,3,4,1,TRUE,TRUE,FALSE
238241,African Americans - European Americans,Evaluation,0.63,2,5,1,5,6,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,4,5,4,5,4,5,2,TRUE,TRUE,FALSE
239346,African Americans - European Americans,Evaluation,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,1,3,5,5,6,2,6,1,5,5,2,4,2,6,4,3,4,4,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
241587,African Americans - European Americans,Evaluation,0.393,2,5,5,4,6,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,6,6,5,5,3,5,2,TRUE,TRUE,FALSE
243747,African Americans - European Americans,Evaluation,0.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,5,4,5,3,5,5,3,4,2,3,3,4,5,5,5,4,4,4,4,5,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
245717,African Americans - European Americans,Evaluation,-0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,3,3,4,4,4,4,2,6,3,3,6,3,5,3,4,4,3,4,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
249730,African Americans - European Americans,Evaluation,1.172,4,4,4,4,4,1,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,1,3,1,4,3,3,6,TRUE,TRUE,FALSE
251939,African Americans - European Americans,Evaluation,0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,3,4,4,4,6,4,4,4,4,5,4,3,6,4,3,4,4,4,6,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
253188,African Americans - European Americans,Evaluation,0.903,4,5,2,4,6,3,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,6,6,4,6,2,6,4,TRUE,TRUE,FALSE
253519,African Americans - European Americans,Evaluation,0.333,2,6,1,5,6,2,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,6,5,5,5,6,6,TRUE,TRUE,FALSE
254504,African Americans - European Americans,Evaluation,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,5,4,4,4,3,4,4,3,4,4,6,4,4,4,6,2,2,4,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
285703,African Americans - European Americans,Evaluation,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,4,6,5,3,2,5,6,6,1,4,6,1,2,2,6,6,1,5,6,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
287257,African Americans - European Americans,Evaluation,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,4,1,4,5,5,2,6,3,5,5,2,5,4,5,4,4,5,5,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
289486,African Americans - European Americans,Evaluation,0.76,2,6,1,6,6,1,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,5,4,5,5,4,1,TRUE,TRUE,FALSE
289105,African Americans - European Americans,Evaluation,0.36,5,4,3,4,3,4,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,5,5,5,5,3,5,2,TRUE,TRUE,FALSE
291619,African Americans - European Americans,Evaluation,1.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,4,1,4,NA,4,4,6,5,4,5,4,4,4,5,1,4,3,6,4,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
293517,African Americans - European Americans,Evaluation,-0.067,4,3,3,4,6,4,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,4,4,2,TRUE,TRUE,FALSE
296088,African Americans - European Americans,Evaluation,0.246,1,5,3,6,6,4,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,4,1,5,4,3,6,3,TRUE,TRUE,FALSE
310835,African Americans - European Americans,Evaluation,0.501,5,3,4,3,2,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,4,3,5,1,2,6,1,TRUE,TRUE,FALSE
310981,African Americans - European Americans,Evaluation,1.199,3,6,2,5,6,5,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,6,6,5,4,5,6,2,TRUE,TRUE,FALSE
311817,African Americans - European Americans,Evaluation,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,1,6,5,6,1,5,5,6,5,2,6,1,5,1,6,3,1,6,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
316021,African Americans - European Americans,Evaluation,0.806,4,6,1,6,5,6,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,6,5,6,2,1,6,6,TRUE,TRUE,FALSE
314655,African Americans - European Americans,Evaluation,1.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,1,1,6,6,6,5,5,4,5,5,4,6,5,4,1,5,5,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
329537,African Americans - European Americans,Evaluation,0.806,5,3,5,3,4,3,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,5,3,3,5,4,TRUE,TRUE,FALSE
337414,African Americans - European Americans,Evaluation,0.201,4,4,4,5,5,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,4,1,4,4,4,4,TRUE,TRUE,FALSE
339121,African Americans - European Americans,Evaluation,-0.16,4,6,3,6,6,1,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,6,3,1,5,2,TRUE,TRUE,FALSE
343954,African Americans - European Americans,Evaluation,-0.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,4,4,6,6,5,3,6,2,4,5,5,6,1,6,4,2,2,1,5,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
347838,African Americans - European Americans,Evaluation,0.331,5,5,4,4,3,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,6,4,4,4,4,NA,TRUE,FALSE,FALSE
348671,African Americans - European Americans,Evaluation,-0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,5,3,3,4,5,2,5,2,3,5,2,5,3,4,2,4,4,3,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
354340,African Americans - European Americans,Evaluation,-0.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,6,2,4,4,5,2,4,4,4,3,4,4,2,4,2,4,2,2,5,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
357132,African Americans - European Americans,Evaluation,0.264,1,4,1,6,6,1,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,6,6,2,6,2,TRUE,TRUE,FALSE
368445,African Americans - European Americans,Evaluation,0.053,5,6,6,1,6,4,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,1,3,6,6,NA,6,4,TRUE,FALSE,FALSE
361490,African Americans - European Americans,Evaluation,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,4,5,5,6,4,6,4,6,6,3,5,5,3,3,4,4,4,5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
365480,African Americans - European Americans,Evaluation,0.359,1,6,1,6,6,2,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,6,5,6,4,6,3,TRUE,TRUE,FALSE
365691,African Americans - European Americans,Evaluation,-0.322,4,5,2,5,3,2,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,6,4,6,2,5,2,TRUE,TRUE,FALSE
365766,African Americans - European Americans,Evaluation,0.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,4,5,3,4,5,4,4,5,5,4,4,5,4,2,4,4,4,6,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
366258,African Americans - European Americans,Evaluation,1.398,2,5,1,5,6,4,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,6,5,5,5,1,5,4,TRUE,TRUE,FALSE
372836,African Americans - European Americans,Evaluation,0.795,5,5,3,5,5,5,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,6,6,3,5,1,TRUE,TRUE,FALSE
388154,African Americans - European Americans,Evaluation,0.51,5,5,1,5,3,3,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,3,5,4,6,4,5,2,TRUE,TRUE,FALSE
491808,African Americans - European Americans,Evaluation,0.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,2,1,5,6,6,2,2,4,5,3,5,2,4,3,2,5,4,3,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
418670,African Americans - European Americans,Evaluation,-0.023,3,4,2,5,5,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,5,5,5,2,6,3,TRUE,TRUE,FALSE
394075,African Americans - European Americans,Evaluation,-0.285,4,5,1,5,3,1,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,6,5,6,4,5,3,TRUE,TRUE,FALSE
401021,African Americans - European Americans,Evaluation,0.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,5,5,6,6,4,2,4,4,3,5,4,2,4,4,5,1,5,6,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
419450,African Americans - European Americans,Evaluation,0.437,2,4,1,6,4,2,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,2,6,1,TRUE,TRUE,FALSE
